epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
86,1300.05,0.43803,0.26075,0.85837,0.99008,0.99505,0.99299,0.90537,0.47469,0.21775,0.86841,0.00289683,0.00096561,0.00289683,0.00096561,0.00289683,0.00096561,0.00289683,0.00096561
87,1314.75,0.43752,0.2609,0.85857,0.99487,0.99262,0.99454,0.90731,0.45927,0.21371,0.866,0.00287207,0.000957358,0.00287207,0.000957358,0.00287207,0.000957358,0.00287207,0.000957358
88,1329.28,0.43834,0.26247,0.86313,0.99709,0.9942,0.99396,0.90271,0.46668,0.2148,0.86605,0.00284732,0.000949106,0.00284732,0.000949106,0.00284732,0.000949106,0.00284732,0.000949106
89,1344.21,0.43354,0.26074,0.8601,0.99647,0.98703,0.99274,0.90536,0.46934,0.21396,0.86711,0.00282256,0.000940855,0.00282256,0.000940855,0.00282256,0.000940855,0.00282256,0.000940855
90,1358.77,0.4343,0.25766,0.86266,0.99669,0.98443,0.99374,0.91069,0.47043,0.21088,0.86558,0.00279781,0.000932603,0.00279781,0.000932603,0.00279781,0.000932603,0.00279781,0.000932603
91,1373.67,0.43734,0.2562,0.86116,0.99436,0.99262,0.99432,0.90558,0.46278,0.20462,0.86686,0.00277305,0.000924352,0.00277305,0.000924352,0.00277305,0.000924352,0.00277305,0.000924352
92,1388.36,0.42395,0.25699,0.85953,0.9921,0.99232,0.99371,0.91002,0.46145,0.2121,0.86759,0.0027483,0.0009161,0.0027483,0.0009161,0.0027483,0.0009161,0.0027483,0.0009161
93,1403.09,0.43197,0.25802,0.85825,0.98711,0.99262,0.99328,0.90784,0.4636,0.21278,0.86727,0.00272354,0.000907848,0.00272354,0.000907848,0.00272354,0.000907848,0.00272354,0.000907848
94,1417.85,0.44072,0.25925,0.86349,0.99439,0.99459,0.9936,0.90588,0.4591,0.21143,0.86378,0.00269879,0.000899597,0.00269879,0.000899597,0.00269879,0.000899597,0.00269879,0.000899597
95,1432.53,0.42629,0.25864,0.85981,0.99394,0.99719,0.99495,0.90671,0.46862,0.20672,0.86324,0.00267403,0.000891345,0.00267403,0.000891345,0.00267403,0.000891345,0.00267403,0.000891345
96,1447.26,0.43088,0.25715,0.86006,0.98796,0.99677,0.99456,0.90287,0.47874,0.21089,0.86679,0.00264928,0.000883093,0.00264928,0.000883093,0.00264928,0.000883093,0.00264928,0.000883093
97,1462.03,0.43017,0.25593,0.86083,0.99434,0.99241,0.99318,0.90777,0.44876,0.20471,0.86214,0.00262452,0.000874842,0.00262452,0.000874842,0.00262452,0.000874842,0.00262452,0.000874842
98,1476.87,0.42536,0.25578,0.85962,0.99682,0.99207,0.99468,0.91376,0.44754,0.19883,0.86628,0.00259977,0.00086659,0.00259977,0.00086659,0.00259977,0.00086659,0.00259977,0.00086659
99,1491.53,0.41646,0.24849,0.85536,0.99464,0.99262,0.99307,0.91303,0.4447,0.2008,0.86398,0.00257501,0.000858338,0.00257501,0.000858338,0.00257501,0.000858338,0.00257501,0.000858338
100,1506.32,0.4129,0.24468,0.85653,0.99587,0.99262,0.99374,0.91703,0.45313,0.20396,0.8637,0.00255026,0.000850087,0.00255026,0.000850087,0.00255026,0.000850087,0.00255026,0.000850087
101,1520.92,0.43008,0.25406,0.86057,0.99506,0.99245,0.99313,0.91764,0.44858,0.20208,0.85986,0.0025255,0.000841835,0.0025255,0.000841835,0.0025255,0.000841835,0.0025255,0.000841835
102,1535.77,0.42473,0.25257,0.85708,0.99057,0.99669,0.99464,0.91213,0.46325,0.20415,0.86385,0.00250075,0.000833583,0.00250075,0.000833583,0.00250075,0.000833583,0.00250075,0.000833583
103,1550.35,0.41523,0.24968,0.85996,0.99613,0.98729,0.99391,0.91289,0.46162,0.20871,0.864,0.002476,0.000825332,0.002476,0.000825332,0.002476,0.000825332,0.002476,0.000825332
104,1565.22,0.4244,0.25022,0.86302,0.99505,0.99262,0.99352,0.90649,0.46284,0.20611,0.8671,0.00245124,0.00081708,0.00245124,0.00081708,0.00245124,0.00081708,0.00245124,0.00081708
105,1579.87,0.4176,0.24731,0.85787,0.99682,0.99262,0.99381,0.91073,0.46205,0.20629,0.86868,0.00242649,0.000808828,0.00242649,0.000808828,0.00242649,0.000808828,0.00242649,0.000808828
106,1594.78,0.42505,0.2492,0.85709,0.99139,0.9902,0.99424,0.90876,0.45623,0.21025,0.8647,0.00240173,0.000800577,0.00240173,0.000800577,0.00240173,0.000800577,0.00240173,0.000800577
107,1609.66,0.41269,0.24358,0.85411,0.99568,0.99262,0.99461,0.91534,0.46049,0.20544,0.86479,0.00237698,0.000792325,0.00237698,0.000792325,0.00237698,0.000792325,0.00237698,0.000792325
108,1624.48,0.41917,0.24252,0.85772,0.99613,0.98617,0.99434,0.91427,0.45793,0.20481,0.86784,0.00235222,0.000784073,0.00235222,0.000784073,0.00235222,0.000784073,0.00235222,0.000784073
109,1639.29,0.41855,0.24742,0.86084,0.99509,0.99228,0.99449,0.91659,0.45823,0.20707,0.86619,0.00232747,0.000775822,0.00232747,0.000775822,0.00232747,0.000775822,0.00232747,0.000775822
110,1653.9,0.41384,0.24142,0.85638,0.99443,0.99262,0.99371,0.91518,0.45048,0.20433,0.86455,0.00230271,0.00076757,0.00230271,0.00076757,0.00230271,0.00076757,0.00230271,0.00076757
111,1668.76,0.41874,0.24749,0.85855,0.98942,0.99262,0.99239,0.91435,0.44661,0.20895,0.86505,0.00227796,0.000759318,0.00227796,0.000759318,0.00227796,0.000759318,0.00227796,0.000759318
112,1683.43,0.4165,0.24398,0.85745,0.99542,0.99262,0.99381,0.91089,0.4587,0.21054,0.86574,0.0022532,0.000751067,0.0022532,0.000751067,0.0022532,0.000751067,0.0022532,0.000751067
113,1698.36,0.41368,0.2399,0.85763,0.99681,0.9926,0.99289,0.9166,0.44777,0.20046,0.86386,0.00222845,0.000742815,0.00222845,0.000742815,0.00222845,0.000742815,0.00222845,0.000742815
